State,County,Affordability
AL,Autauga County,1.189
AL,Baldwin County,1.207
AL,Barbour County,0.958
AL,Bibb County,1.062
AL,Blount County,1.071
AL,Bullock County,0.669
AL,Butler County,0.943
AL,Calhoun County,1.098
AL,Chambers County,0.937
AL,Cherokee County,1.09
AL,Chilton County,1.117
AL,Choctaw County,1.058
AL,Clarke County,1.019
AL,Clay County,1.007
AL,Cleburne County,1.183
AL,Coffee County,1.203
AL,Colbert County,1.046
AL,Conecuh County,0.865
AL,Coosa County,1.051
AL,Covington County,1.071
AL,Crenshaw County,1.121
AL,Cullman County,1.101
AL,Dale County,1.118
AL,Dallas County,0.86
AL,DeKalb County,1.02
AL,Elmore County,1.23
AL,Escambia County,0.93
AL,Etowah County,1.105
AL,Fayette County,1.033
AL,Franklin County,0.992
AL,Geneva County,1.006
AL,Greene County,0.811
AL,Hale County,0.988
AL,Henry County,1.18
AL,Houston County,1.168
AL,Jackson County,1.041
AL,Jefferson County,1.126
AL,Lamar County,1.044
AL,Lauderdale County,1.19
AL,Lawrence County,1.105
AL,Lee County,1.197
AL,Limestone County,1.325
AL,Lowndes County,0.771
AL,Macon County,0.809
AL,Madison County,1.384
AL,Marengo County,1.102
AL,Marion County,1.064
AL,Marshall County,1.224
AL,Mobile County,1.055
AL,Monroe County,0.94
AL,Montgomery County,1.07
AL,Morgan County,1.202
AL,Perry County,0.655
AL,Pickens County,0.939
AL,Pike County,1.089
AL,Randolph County,1.044
AL,Russell County,0.913
AL,St. Clair County,1.11
AL,Shelby County,1.407
AL,Sumter County,0.739
AL,Talladega County,1.115
AL,Tallapoosa County,0.981
AL,Tuscaloosa County,1.202
AL,Walker County,1.096
AL,Washington County,1.14
AL,Wilcox County,0.711
AL,Winston County,0.974
AK,Aleutians East Borough,0.956
AK,Aleutians West Census Area,1.254
AK,Anchorage Municipality,1.318
AK,Bethel Census Area,0.74
AK,Bristol Bay Borough,1.228
AK,Chugach Census Area,1.256
AK,Copper River Census Area,1.271
AK,Denali Borough,1.635
AK,Dillingham Census Area,0.904
AK,Fairbanks North Star Borough,1.121
AK,Haines Borough,1.218
AK,Hoonah-Angoon Census Area,0.952
AK,Juneau City and Borough,1.266
AK,Kenai Peninsula Borough,1.217
AK,Ketchikan Gateway Borough,1.257
AK,Kodiak Island Borough,1.132
AK,Kusilvak Census Area,0.599
AK,Lake and Peninsula Borough,0.911
AK,Matanuska-Susitna Borough,1.211
AK,Nome Census Area,0.833
AK,North Slope Borough,1.07
AK,Northwest Arctic Borough,0.888
AK,Petersburg Borough,1.08
AK,Prince of Wales-Hyder Census Area,0.975
AK,Sitka City and Borough,1.268
AK,Skagway Municipality,1.303
AK,Southeast Fairbanks Census Area,0.97
AK,Wrangell City and Borough,0.984
AK,Yakutat City and Borough,0.958
AK,Yukon-Koyukuk Census Area,0.822
AZ,Apache County,0.626
AZ,Cochise County,1.074
